Metabolites	isotopologues	Proteinogenic_40_	Proteinogenic_400_	Proteinogenic_1600_	Proteinogenic_12800_	Proteinogenic_25600_	Proteinogenic_51200_	Proteinogenic_512000_	Theoretical CID
Alanine	M0	-8.4105501	-7.1195501	-6.1725501	16.9392499	-12.5751501	-12.5751501	0.699249900000001	0
Alanine	M1	1.6669503	0.585550300000004	0.187950300000006	-9.49304969999999	2.65855030000001	4.72315030000001	4.0943503	0
Alanine	M2	4.8291497	4.0419497	3.5831497	-6.8798503	5.7791497	5.0683497	-2.7564503	0
Alanine	M3	1.9140501	2.4919501	2.4014501	-0.5661499	4.1376501	2.7836501	-2.0375499	0
Arginine	M0	-1.5813440003753	0.0467559996247001	-0.000744000375299883	-0.7553440003753	-0.8901440003753	0.0684559996246999	0.5774559996247	0
Arginine	M0	-9.4501874992488	-0.141687499248798	-0.184787499248798	-0.873387499248798	-1.6765874992488	-3.3225874992488	-4.5781874992488	0
Arginine	M0	-23.5311554996265	-0.195955499626504	-0.00815549962650541	0.724044500373494	1.1360445003735	1.48344450037349	1.6430445003735	0
Arginine	M0	-31.2496250015	0.0774749985000045	0.244374998500002	1.7579749985	2.9241749985	4.7481749985	7.9885749985	0
Arginine	M0	-23.3436569996235	0.364043000376502	0.3821430003765	1.0467430003765	1.4225430003765	1.8371430003765	1.5255430003765	0
Arginine	M0	-9.3001874992512	0.145212500748801	0.0604125007488007	-0.725587499251198	-1.6961874992512	-3.5507874992512	-5.9899874992512	0
Arginine	M0	-1.5438435003747	-0.2959435003747	-0.4926435003747	-1.1744435003747	-1.2202435003747	-1.2638435003747	-1.1668435003747	0
Aspartate	M0	-0.0689502001000007	-0.00985020010000059	0.453449799899999	3.0324497999	3.9166497999	19.5152497999	26.5974497999	0
Aspartate	M1	-0.118599599599997	-0.175099599599998	-0.375199599599998	-0.377999599599999	-0.256399599599999	-4.0959995996	-6.0089995996	0
Aspartate	M2	0.338699999400005	0.118399999400004	-0.0347000005999965	-0.519700000599993	-0.266700000599995	-5.97530000059999	-7.65810000059999	0
Aspartate	M3	0.1885996004	0.3495996004	0.342599600399998	-0.6212003996	-1.0184003996	-5.2608003996	-8.0274003996	0
Aspartate	M4	-0.3397498001	-0.2827498001	-0.3859498001	-1.5135498001	-2.3749498001	-4.1829498001	-4.9027498001	0
Glutamate	M0	-0.2079752502501	-0.1998752502501	-0.1375752502501	-0.3309752502501	-0.6895752502501	1.9930247497499	2.8082247497499	0
Glutamate	M1	-0.542674749249505	-0.390374749249503	-0.294474749249504	-0.288674749249504	-0.577674749249504	-1.3026747492495	-2.3290747492495	0
Glutamate	M2	0.223750499499009	0.0195504994990048	-0.0948495005009931	0.603950499499006	1.20855049949901	0.984550499499004	2.04075049949901	0
Glutamate	M3	0.570149499501005	0.590349499501003	0.420549499501005	1.082349499501	1.505349499501	1.565949499501	2.288549499501	0
Glutamate	M4	0.309624750749499	0.413024750749499	0.5578247507495	0.102224750749499	0.1526247507495	-1.1377752492505	-2.4231752492505	0
Glutamate	M5	-0.3532747502499	-0.4326747502499	-0.4514747502499	-1.1690747502499	-1.5990747502499	-2.1032747502499	-2.3852747502499	0
Glycine	M0	-4.3367	-2.7607	0.644100000000003	39.7605	-25.1001	-25.1001	-25.1001	0
Glycine	M1	-1.6388	-2.4557	-21.1112	-26.7858	23.027	24.692	23.7662	0
Glycine	M2	5.9753	5.2167	20.4669	-12.9745	2.0731	0.408100000000003	1.3339	0
Histidine	M0	-0.4261440003753	-0.4646440003753	0.1422559996247	0.3522559996247	1.0806559996247	39.3598559996247	48.7236559996247	0
Histidine	M1	0.240212500751202	-0.0675874992487988	-0.337587499248798	-2.0261874992488	-3.1941874992488	-5.2289874992488	-4.8385874992488	0
Histidine	M2	2.22264450037349	0.972244500373495	0.864444500373496	1.40144450037349	1.7828445003735	-8.70555549962651	-12.0019554996265	0
Histidine	M3	-0.965825001499998	-0.129025001499999	0.0609749985000019	2.1313749985	3.6653749985	-8.5284250015	-11.4542250015	0
Histidine	M4	-0.1288569996235	0.793943000376501	0.730943000376502	1.5389430003765	1.5473430003765	-9.1918569996235	-12.1394569996235	0
Histidine	M5	-0.0859874992511986	-0.165987499251198	-0.382987499251199	-2.1387874992512	-3.6393874992512	-6.3835874992512	-6.7451874992512	0
Histidine	M6	-0.8562435003747	-0.9387435003747	-1.0780435003747	-1.2590435003747	-1.2424435003747	-1.3214435003747	-1.5438435003747	0
Isoleucine	M0	23.0484559996247	0.2207559996247	0.2222559996247	0.1894559996247	-0.1517440003753	9.0048559996247	15.6026559996247	0
Isoleucine	M1	-2.5383874992488	-0.486487499248799	-0.157587499248799	-0.722787499248798	-1.4375874992488	-2.5813874992488	-4.0437874992488	0
Isoleucine	M2	-6.37755549962651	-0.168255499626505	-0.255955499626506	0.292244500373495	0.669644500373495	-1.44015549962651	-3.1409554996265	0
Isoleucine	M3	-8.3280250015	-0.0617250014999959	0.0479749985000055	1.1703749985	2.12917499850001	0.6253749985	0.316374998500002	0
Isoleucine	M4	-3.8634569996235	0.380243000376501	0.386143000376502	0.746543000376501	1.2377430003765	-0.8170569996235	-2.0460569996235	0
Isoleucine	M5	-1.4967874992512	0.281612500748801	0.109012500748801	-0.551587499251199	-1.2515874992512	-3.5367874992512	-5.3913874992512	0
Isoleucine	M6	-0.4442435003747	-0.1661435003747	-0.3514435003747	-1.1238435003747	-1.1958435003747	-1.2548435003747	-1.2970435003747	0
