Metabolites	isotopologues	Intracellular_16_01	Intracellular_16_02	Intracellular_16_03	Intracellular_16_04	Intracellular_16_05	Theoretical CID
Histidine	M3	10.7773749985	9.1143749985	9.8223749985	17.1173749985	14.5443749985	0
Histidine	M4	2.1753430003765	1.5033430003765	1.7103430003765	-8.8396569996235	-2.8406569996235	0
Histidine	M5	-1.9091874992512	-1.2931874992512	-0.678187499251198	-0.627187499251199	-1.8431874992512	0
Histidine	M6	-1.5438435003747	-1.5438435003747	-1.5438435003747	-1.5438435003747	-1.5438435003747	0
Isoleucine	M0	-1.5813440003753	-1.5813440003753	-1.5813440003753	-1.5813440003753	-1.5813440003753	0
Isoleucine	M1	-3.1861874992488	-2.4721874992488	-2.4381874992488	-2.5311874992488	-2.3481874992488	0
Isoleucine	M2	2.1598445003735	1.5918445003735	1.84984450037349	1.40684450037349	1.47784450037349	0
Isoleucine	M3	5.2663749985	4.2073749985	4.2403749985	4.5083749985	4.6293749985	0
Isoleucine	M4	2.1543430003765	2.4873430003765	2.3073430003765	2.3573430003765	1.9493430003765	0
Isoleucine	M5	-3.5561874992512	-3.0191874992512	-3.0711874992512	-2.8551874992512	-2.7781874992512	0
Isoleucine	M6	-1.2558435003747	-1.2148435003747	-1.3068435003747	-1.3048435003747	-1.3498435003747	0
Leucine	M0	0.7246559996247	0.7136559996247	0.5456559996247	0.5696559996247	0.6276559996247	0
Leucine	M1	-0.276187499248798	-0.379187499248798	-0.314187499248798	-0.380187499248798	-0.400187499248798	0
Leucine	M2	0.145844500373496	0.160844500373494	0.438844500373495	0.272844500373495	0.297844500373495	0
Leucine	M3	0.435374998500004	0.402374998500005	0.554374998500001	0.469374998500005	0.5033749985	0
Leucine	M4	0.310343000376501	0.3453430003765	0.270343000376499	0.5423430003765	0.3903430003765	0
Leucine	M5	-0.351187499251199	-0.331187499251198	-0.443187499251199	-0.423187499251199	-0.384187499251198	0
Leucine	M6	-0.9888435003747	-0.9128435003747	-1.0518435003747	-1.0488435003747	-1.0358435003747	0
Lysine	M0	-1.5813440003753	-1.5813440003753	-1.5813440003753	-1.5813440003753	-1.5813440003753	0
Lysine	M1	-4.9451874992488	-3.8301874992488	-5.2691874992488	-5.0291874992488	-4.1391874992488	0
Lysine	M2	0.694844500373495	0.453844500373496	0.392844500373496	0.662844500373494	1.6798445003735	0
Lysine	M3	10.3353749985	8.0723749985	14.9063749985	10.0143749985	8.8533749985	0
Lysine	M4	1.1613430003765	3.3673430003765	-2.6416569996235	0.888343000376501	0.0723430003765013	0
Lysine	M5	-4.1211874992512	-4.9381874992512	-4.2621874992512	-3.4111874992512	-3.3401874992512	0
Lysine	M6	-1.5438435003747	-1.5438435003747	-1.5438435003747	-1.5438435003747	-1.5438435003747	0
Methionine	M0	-1.8373752502501	-1.4983752502501	-1.3193752502501	-1.3013752502501	-2.3703752502501	0
Methionine	M1	-12.6798747492495	-9.6418747492495	-13.8028747492495	-14.5198747492495	-13.3638747492495	0
Methionine	M2	11.544750499499	12.653750499499	13.533750499499	27.341750499499	7.239750499499	0
Methionine	M3	3.095749499501	0.120749499501005	5.034749499501	-6.774250500499	8.769749499501	0
Methionine	M4	2.9716247507495	1.4596247507495	-0.3523752492505	-1.6523752492505	2.8186247507495	0
Methionine	M5	-3.0938747502499	-3.0938747502499	-3.0938747502499	-3.0938747502499	-3.0938747502499	0
Phenylalanine	M0	2.12214361835546	2.08814361835546	2.09814361835546	1.88814361835546	1.93714361835546	0
Phenylalanine	M1	-0.179562894142959	-0.20356289414296	-0.326562894142959	-0.164562894142959	-0.248562894142959	0
