Metabolites	isotopologues	Proteinogenic_40_01	Proteinogenic_40_02	Proteinogenic_40_03	Proteinogenic_40_04	Proteinogenic_40_05	Proteinogenic_400_01	Proteinogenic_400_02	Proteinogenic_400_03	Proteinogenic_400_04	Proteinogenic_400_05	Proteinogenic_400_06	Proteinogenic_400_07	Proteinogenic_400_08	Proteinogenic_400_09	Proteinogenic_400_10	Proteinogenic_1600_01	Proteinogenic_1600_02	Proteinogenic_1600_03	Proteinogenic_1600_04	Proteinogenic_1600_05	Proteinogenic_12800_01	Proteinogenic_12800_02	Proteinogenic_12800_03	Proteinogenic_12800_04	Proteinogenic_12800_05	Proteinogenic_25600_01	Proteinogenic_25600_02	Proteinogenic_25600_03	Proteinogenic_25600_04	Proteinogenic_25600_05	Proteinogenic_51200_01	Proteinogenic_51200_02	Proteinogenic_51200_03	Proteinogenic_51200_04	Proteinogenic_51200_05	Proteinogenic_512000_01	Proteinogenic_512000_02	Proteinogenic_512000_03	Proteinogenic_512000_04	Proteinogenic_512000_05	Theoretical CID
Alanine	M0	-8.0151501	-8.1801501	-7.7871501	-8.2601501	-9.8101501	-4.8351501	-5.8111501	-4.4751501	-7.0901501	-6.3411501	-7.6831501	-7.6161501	-7.8781501	-10.3801501	-9.0851501	-3.6641501	-4.9781501	-6.7521501	-7.2631501	-8.2051501	37.7778499	30.2548499	41.8138499	-12.5751501	-12.5751501	-12.5751501	-12.5751501	-12.5751501	-12.5751501	-12.5751501	-12.5751501	-12.5751501	-12.5751501	-12.5751501	-12.5751501	-12.5751501	-12.5751501	53.7968499	-12.5751501	-12.5751501	0
Alanine	M1	0.00315030000000438	1.91915030000001	1.7681503	1.7951503	2.8491503	-1.2178497	0.474150300000004	0.438150300000006	-0.367849699999995	0.658150300000004	-0.0668496999999935	1.2721503	0.887150300000006	2.3291503	1.4491503	-1.0528497	-0.187849699999998	0.194150300000007	1.0951503	0.891150300000004	-17.4768497	-14.8598497	-19.5518497	2.0231503	2.4001503	2.41415030000001	2.8111503	2.9171503	2.61815030000001	2.5321503	5.1031503	4.5261503	4.9691503	4.2441503	4.77315030000001	10.4331503	10.4291503	-18.3128497	9.8441503	8.0781503	0
Alanine	M2	6.4431497	3.8631497	3.9201497	4.2561497	5.6631497	3.7761497	3.1721497	2.2811497	4.7851497	3.5781497	4.9971497	4.3511497	3.8561497	5.2781497	4.3441497	2.5421497	3.1451497	3.8671497	3.6051497	4.7561497	-16.0918503	-12.5658503	-17.3838503	5.5641497	6.0781497	6.1801497	5.8031497	5.5301497	5.7761497	5.6061497	5.1691497	5.5751497	5.1751497	4.3121497	5.1101497	2.8171497	3.2971497	-26.7418503	2.0411497	4.8041497	0
Alanine	M3	1.5688501	2.3968501	2.0978501	2.2098501	1.2968501	2.2768501	2.1648501	1.7558501	2.6718501	2.1048501	2.7528501	1.9918501	3.1348501	2.7728501	3.2928501	2.1738501	2.0218501	2.6908501	2.5628501	2.5578501	-4.2081499	-2.8291499	-4.8781499	4.9878501	4.0968501	3.9818501	3.9608501	4.1288501	4.1798501	4.4368501	2.3028501	2.4738501	2.4308501	4.0188501	2.6918501	-0.675149900000001	-1.1511499	-8.7431499	0.689850099999999	-0.3081499	0
Arginine	M0	-1.5813440003753	-1.5813440003753	-1.5813440003753	-1.5813440003753	-1.5813440003753	0.1216559996247	0.0986559996247	0.0926559996247002	0.1216559996247	0.1136559996247	0.0946559996247001	0.1126559996247	0.1066559996247	-0.3793440003753	-0.0153440003752999	-0.0193440003752999	0.0396559996246999	0.0286559996247	0.00265599962470005	-0.0553440003753	-0.8073440003753	-0.7633440003753	-0.8213440003753	-0.6883440003753	-0.6963440003753	-0.8883440003753	-0.9523440003753	-0.9583440003753	-0.8533440003753	-0.7983440003753	-0.1013440003753	0.2556559996247	-0.0303440003753	0.2206559996247	-0.0023440003753001	0.1306559996247	-0.3263440003753	0.0446559996247001	0.8236559996247	2.2146559996247	0
Arginine	M0	-9.4501874992488	-9.4501874992488	-9.4501874992488	-9.4501874992488	-9.4501874992488	-0.196187499248798	-0.135187499248798	-0.395187499248797	-0.0671874992487984	-0.156187499248799	-0.111187499248798	-0.0911874992487974	-0.0861874992487979	-0.0811874992487985	-0.0971874992487978	-0.190187499248798	-0.234187499248797	-0.150187499248798	-0.120187499248799	-0.229187499248798	-0.861187499248799	-0.918187499248799	-0.757187499248799	-0.863187499248798	-0.967187499248798	-1.7471874992488	-2.0041874992488	-1.5231874992488	-1.6911874992488	-1.4171874992488	-3.5341874992488	-2.9551874992488	-3.2421874992488	-3.4101874992488	-3.4711874992488	-4.6481874992488	-4.9151874992488	-4.3921874992488	-4.7381874992488	-4.1971874992488	0
Arginine	M0	-23.5311554996265	-23.5311554996265	-23.5311554996265	-23.5311554996265	-23.5311554996265	-0.248155499626504	-0.231155499626504	-0.0501554996265058	-0.298155499626504	-0.220155499626504	-0.207155499626505	-0.191155499626505	-0.310155499626505	-0.0651554996265041	-0.138155499626505	-0.00515549962650519	0.0278445003734945	-0.078155499626506	-0.0571554996265045	0.0718445003734941	0.704844500373494	0.776844500373494	0.708844500373496	0.618844500373494	0.810844500373495	1.26784450037349	1.3558445003735	0.852844500373495	1.0998445003735	1.1038445003735	1.8198445003735	1.5878445003735	1.24284450037349	1.21784450037349	1.5488445003735	1.40984450037349	2.14384450037349	0.741844500373495	2.3038445003735	1.6158445003735	0
Arginine	M0	-31.2496250015	-31.2496250015	-31.2496250015	-31.2496250015	-31.2496250015	0.138374998500002	0.00437499850000078	0.319374998500005	0.0243749985000041	0.100374998500002	-0.0286250014999989	0.0233749985000031	0.0703749985000002	0.222374998500002	-0.0996250014999978	0.271374998500001	0.243374998500001	0.2593749985	0.137374998500001	0.310374998500001	1.5963749985	1.8143749985	1.8153749985	1.7833749985	1.7803749985	2.8163749985	3.1643749985	3.1653749985	2.8823749985	2.5923749985	4.34337499850001	4.5373749985	4.9783749985	4.9963749985	4.8853749985	7.8553749985	7.6643749985	8.7153749985	6.8083749985	8.8993749985	0
Arginine	M0	-23.3436569996235	-23.3436569996235	-23.3436569996235	-23.3436569996235	-23.3436569996235	0.392343000376499	0.3453430003765	0.533343000376502	0.2713430003765	0.339343000376502	0.375343000376502	0.199343000376501	0.3203430003765	0.439343000376502	0.424343000376501	0.4733430003765	0.274343000376501	0.403343000376499	0.4293430003765	0.330343000376501	1.0503430003765	0.960343000376501	1.0753430003765	1.1443430003765	1.0033430003765	1.5113430003765	1.5113430003765	1.3473430003765	1.3843430003765	1.3583430003765	2.1583430003765	1.7473430003765	1.8253430003765	1.5903430003765	1.8643430003765	1.5833430003765	1.7523430003765	1.1023430003765	1.3893430003765	1.8003430003765	0
Arginine	M0	-9.3001874992512	-9.3001874992512	-9.3001874992512	-9.3001874992512	-9.3001874992512	0.096812500748801	0.227812500748802	-0.165187499251199	0.222812500748801	0.127812500748802	0.186812500748801	0.221812500748801	0.200812500748801	0.142812500748801	0.189812500748801	-0.0131874992511993	0.0878125007488018	0.028812500748801	0.0848125007488015	0.113812500748801	-0.524187499251198	-0.708187499251199	-0.815187499251199	-0.802187499251199	-0.778187499251198	-1.7091874992512	-1.8461874992512	-1.6561874992512	-1.6511874992512	-1.6181874992512	-3.4671874992512	-3.8401874992512	-3.5291874992512	-3.3681874992512	-3.5491874992512	-5.0621874992512	-5.2221874992512	-4.9571874992512	-5.4081874992512	-9.3001874992512	0
