sample	metabolite	derivative	isotopologue	area	corrected_area	isotopologue_fraction	residuum	mean_enrichment
Proteinogenic_25600_02	Alanine		0	396713.0	400472.7425523725	0.10917085987116526	1.6007505738284065e-17	0.5177691248101499
Proteinogenic_25600_02	Alanine		1	1315240.0	1327399.7386244426	0.3618557656004244	-6.403002295313626e-17	0.5177691248101499
Proteinogenic_25600_02	Alanine		2	1438084.0	1450701.779614372	0.3954685147552058	6.403002295313626e-17	0.5177691248101499
Proteinogenic_25600_02	Alanine		3	486236.0	489737.4390981288	0.1335048597732046	-3.201501147656813e-17	0.5177691248101499
Proteinogenic_25600_03	Alanine		0	420108.0	424089.4624783965	0.11302986776058274	3.1300844561732874e-17	0.5154877690544797
Proteinogenic_25600_03	Alanine		1	1346862.0	1359303.4353387072	0.3622865011664056	6.260168912346575e-17	0.5154877690544797
Proteinogenic_25600_03	Alanine		2	1450105.0	1462812.3995903153	0.3898740872220014	0.0	0.5154877690544797
Proteinogenic_25600_03	Alanine		3	502164.0	505807.0766731471	0.13480954385101024	-1.5650422280866437e-17	0.5154877690544797
Proteinogenic_25600_04	Alanine		0	392001.0	395716.0858183941	0.10786050306352629	1.60054765934125e-17	0.5178298133521713
Proteinogenic_25600_04	Alanine		1	1323985.0	1336231.240914561	0.36421712186951266	6.402190637365e-17	0.5178298133521713
Proteinogenic_25600_04	Alanine		2	1434734.0	1447313.3025837431	0.3944948070138821	0.0	0.5178298133521713
Proteinogenic_25600_04	Alanine		3	486014.0	489515.93466177944	0.13342756805307893	0.0	0.5178298133521713
Proteinogenic_25600_05	Alanine		0	397958.0	401729.54171064997	0.10855600524058233	0.0	0.5163589775535128
Proteinogenic_25600_05	Alanine		1	1344140.0	1356572.6732381764	0.36657525756804515	0.0	0.5163589775535128
Proteinogenic_25600_05	Alanine		2	1438449.0	1451048.013367232	0.3921045364816244	-6.347017979865853e-17	0.5163589775535128
Proteinogenic_25600_05	Alanine		3	487800.0	491315.9929614755	0.13276420070974806	-1.5867544949664632e-17	0.5163589775535128
Proteinogenic_400_01	Alanine		0	6276889.0	6336376.555663211	0.10663737710553195	0.0	0.5284664674841469
Proteinogenic_400_01	Alanine		1	20683854.0	20875052.380025405	0.35131447968585977	0.0	0.5284664674841469
Proteinogenic_400_01	Alanine		2	23093160.0	23296115.631476074	0.3920595068592437	0.0	0.5284664674841469
Proteinogenic_400_01	Alanine		3	8846236.0	8912301.716118507	0.1499886363493646	0.0	0.5284664674841469
Proteinogenic_400_02	Alanine		0	6326509.0	6386466.816091905	0.10606599527047905	0.0	0.5282577680511787
Proteinogenic_400_02	Alanine		1	21022364.0	21216732.35770628	0.35236601061439066	0.0	0.5282577680511787
Proteinogenic_400_02	Alanine		2	23415298.0	23621046.299851526	0.39229668880624535	0.0	0.5282577680511787
Proteinogenic_400_02	Alanine		3	8921423.0	8987953.542686928	0.14927130530888497	0.0	0.5282577680511787
Proteinogenic_400_03	Alanine		0	6333245.0	6393266.654750666	0.10598965512040663	0.0	0.5289781539905868
Proteinogenic_400_03	Alanine		1	20997301.0	21191426.64928542	0.3513183671759037	0.0	0.5289781539905868
Proteinogenic_400_03	Alanine		2	23466813.0	23673068.798828438	0.39245983831521236	0.0	0.5289781539905868
Proteinogenic_400_03	Alanine		3	8994775.0	9061961.057737999	0.15023213938847726	0.0	0.5289781539905868
Proteinogenic_400_04	Alanine		0	6535940.0	6597882.643013347	0.10584705596400311	0.0	0.5287040281768505
Proteinogenic_400_04	Alanine		1	21720464.0	21921287.348431334	0.3516739921449541	0.0	0.5287040281768505
Proteinogenic_400_04	Alanine		2	24283788.0	24497230.418032	0.39299876328753114	0.0	0.5287040281768505
Proteinogenic_400_04	Alanine		3	9248751.0	9317715.385460319	0.14948018860351167	0.0	0.5287040281768505
Proteinogenic_400_05	Alanine		0	6115941.0	6173903.213553627	0.10525495129137812	0.0	0.5287112228413694
Proteinogenic_400_05	Alanine		1	20507413.0	20697062.98763191	0.3528510702687029	0.0	0.5287112228413694
Proteinogenic_400_05	Alanine		2	22816364.0	23016831.97203059	0.39239933706435176	0.0	0.5287112228413694
Proteinogenic_400_05	Alanine		3	8703925.0	8768855.388499578	0.14949464137556723	0.0	0.5287112228413694
Proteinogenic_400_06	Alanine		0	6396507.0	6457128.203626927	0.10691626667267101	0.0	0.528118414659328
Proteinogenic_400_06	Alanine		1	21022762.0	21217080.296176177	0.3513095827472144	0.0	0.528118414659328
Proteinogenic_400_06	Alanine		2	23484857.0	23691264.26180276	0.3922767905095743	0.0	0.528118414659328
Proteinogenic_400_06	Alanine		3	8961921.0	9028781.58881695	0.14949736007054024	0.0	0.528118414659328
Proteinogenic_400_07	Alanine		0	6656946.0	6720035.4453800265	0.10665409754810999	0.0	0.5283135035959068
Proteinogenic_400_07	Alanine		1	21940210.0	22143022.870766506	0.3514332834200114	0.0	0.5283135035959068
Proteinogenic_400_07	Alanine		2	24498266.0	24713572.147065688	0.392230629727927	0.0	0.5283135035959068
Proteinogenic_400_07	Alanine		3	9361261.0	9431126.386905272	0.14968198930395163	0.0	0.5283135035959068
Proteinogenic_400_08	Alanine		0	6077179.0	6134773.856948689	0.1050085627407185	0.0	0.5290732835862836
Proteinogenic_400_08	Alanine		1	20370027.0	20558404.758897834	0.3518970032658313	0.0	0.5290732835862836
Proteinogenic_400_08	Alanine		2	22815258.0	23015821.12715969	0.39396045448733114	0.0	0.5290732835862836
Proteinogenic_400_08	Alanine		3	8648250.0	8712653.661548447	0.1491339795061191	0.0	0.5290732835862836
Proteinogenic_400_09	Alanine		0	5616866.0	5670098.362214434	0.10541416147168879	0.0	0.5300899723807532
Proteinogenic_400_09	Alanine		1	18646301.0	18818696.615176845	0.3498629118850466	0.0	0.5300899723807532
Proteinogenic_400_09	Alanine		2	20995322.0	21179962.563884534	0.39376177467258056	0.0	0.5300899723807532
Proteinogenic_400_09	Alanine		3	8059788.0	8120015.0776408445	0.150961151970684	0.0	0.5300899723807532
Proteinogenic_400_10	Alanine		0	5720716.0	5774932.5731277745	0.10490221864312245	0.0	0.5292348947980469
Proteinogenic_400_10	Alanine		1	19243381.0	19421355.41490778	0.3527908328420527	0.0	0.5292348947980469
Proteinogenic_400_10	Alanine		2	21392286.0	21580229.54883381	0.3920069939923864	0.0	0.5292348947980469
Proteinogenic_400_10	Alanine		3	8212735.0	8274106.251881051	0.15029995452243836	0.0	0.5292348947980469
Proteinogenic_40_01	Alanine		0	45523901.0	45955341.733577415	0.11109191882670781	0.0	0.5248610652650479
Proteinogenic_40_01	Alanine		1	144162779.0	145494032.47938994	0.35171561425167414	0.0	0.5248610652650479
Proteinogenic_40_01	Alanine		2	159397604.0	160797407.8238828	0.38870981922138437	0.0	0.5248610652650479
Proteinogenic_40_01	Alanine		3	60967620.0	61422746.934587605	0.1484826477002337	0.0	0.5248610652650479
Proteinogenic_40_02	Alanine		0	46425490.0	46865475.304912485	0.1134431890507917	0.0	0.5254283255508635
Proteinogenic_40_02	Alanine		1	142035297.0	143345694.4448741	0.34698448289976735	0.0	0.5254283255508635
Proteinogenic_40_02	Alanine		2	159472985.0	160875139.94149843	0.38941649039549964	0.0	0.5254283255508635
Proteinogenic_40_02	Alanine		3	61571362.0	62032148.07641311	0.15015583765394136	0.0	0.5254283255508635
Proteinogenic_40_03	Alanine		0	48036086.0	48491335.302603215	0.11355042550670619	0.0	0.5239789726918581
Proteinogenic_40_03	Alanine		1	147841113.0	149205294.86719775	0.34938870242070513	0.0	0.5239789726918581
Proteinogenic_40_03	Alanine		2	164519523.0	165965041.02671665	0.38863440056289655	0.0	0.5239789726918581
Proteinogenic_40_03	Alanine		3	62915396.0	63385035.90489574	0.14842647150969204	0.0	0.5239789726918581
Proteinogenic_40_04	Alanine		0	48247723.0	48704978.03630631	0.11116200358185505	0.0	0.5239657575860504
Proteinogenic_40_04	Alanine		1	152548836.0	153957471.3030455	0.3513854572254397	0.0	0.5239657575860504
Proteinogenic_40_04	Alanine		2	170189302.0	171684933.4061074	0.3918458020454045	0.0	0.5239657575860504
Proteinogenic_40_04	Alanine		3	63327548.0	63796735.450845174	0.14560673714730077	0.0	0.5239657575860504
Proteinogenic_40_05	Alanine		0	48472242.0	48931624.855757944	0.11072359730017285	0.0	0.5235527763329535
Proteinogenic_40_05	Alanine		1	155117227.0	156550030.8783997	0.35424498220540557	0.0	0.5235527763329535
Proteinogenic_40_05	Alanine		2	170273705.0	171768161.1683414	0.3886809146898096	0.0	0.5235527763329535
Proteinogenic_40_05	Alanine		3	64198699.0	64676078.289505854	0.14635050580461195	0.0	0.5235527763329535
Proteinogenic_512000_01	Alanine		0	459309.0	463661.9795897482	0.3166287715388192	-1.2029565879410326e-16	0.39653829017418724
Proteinogenic_512000_01	Alanine		1	408197.0	411712.337644304	0.2811530326705568	-4.009855293136776e-17	0.39653829017418724
Proteinogenic_512000_01	Alanine		2	432876.0	436664.8042429729	0.298192749519867	1.2029565879410326e-16	0.39653829017418724
Proteinogenic_512000_01	Alanine		3	151233.0	152331.84309560692	0.104025446270757	1.4034493525978716e-16	0.39653829017418724
Proteinogenic_512000_02	Alanine		0	310403.0	313344.76235082827	0.2412941323186124	-4.521756021492403e-17	0.43907342465460847
Proteinogenic_512000_02	Alanine		1	402755.0	406333.2818955275	0.31290083150450426	-9.043512042984806e-17	0.43907342465460847
Proteinogenic_512000_02	Alanine		2	428804.0	432558.31098036346	0.3330956660713286	4.521756021492403e-17	0.43907342465460847
Proteinogenic_512000_02	Alanine		3	145318.0	146364.48243094044	0.11270937010555462	1.1304390053731007e-16	0.43907342465460847
Proteinogenic_512000_03	Alanine		0	272590.0	275173.3996424399	0.21951180278867594	-4.6842047125159967e-17	0.4498961923990435
Proteinogenic_512000_03	Alanine		1	408555.0	412217.3307640506	0.3288347257922853	-9.368409425031993e-17	0.4498961923990435
Proteinogenic_512000_03	Alanine		2	415205.0	418825.94728365436	0.3341065628522709	4.6842047125159967e-17	0.4498961923990435
Proteinogenic_512000_03	Alanine		3	146287.0	147353.27229267865	0.1175469085667678	7.026307068773995e-17	0.4498961923990435
Proteinogenic_512000_04	Alanine		0	326126.0	329216.7729256039	0.24717866848797934	-8.817418762189372e-17	0.43604116980376234
Proteinogenic_512000_04	Alanine		1	408133.0	411750.15835652297	0.3091454150037465	-4.408709381094686e-17	0.43604116980376234
Proteinogenic_512000_04	Alanine		2	438415.0	442256.2698370043	0.33204965511728174	8.817418762189372e-17	0.43604116980376234
